mov_id,data_mov,pedido_id,insumo,quantidade,tipo,origem,usuario
1765987169725,2025-12-17T15:59:29.725Z,EPS-REAL-001,eps,1,SAIDA,EVENTO,Produção
1766064815538,2025-12-18T13:33:35.533Z,VENDA-1766064815522,eps,160.5000,SAIDA,VENDA,sistema
1766064815544,2025-12-18T13:33:35.533Z,VENDA-1766064815522,tela,11.7700,SAIDA,VENDA,sistema
1766064815545,2025-12-18T13:33:35.533Z,VENDA-1766064815522,cimento,513.6000,SAIDA,VENDA,sistema
1766064815545,2025-12-18T13:33:35.533Z,VENDA-1766064815522,areia,192.6000,SAIDA,VENDA,sistema
1766064815546,2025-12-18T13:33:35.533Z,VENDA-1766064815522,aditivo,0.2140,SAIDA,VENDA,sistema
1766064815546,2025-12-18T13:33:35.533Z,VENDA-1766064815522,conectores,8.5600,SAIDA,VENDA,sistema
1766064881595,2025-12-18T13:34:41.595Z,VENDA-1766064881593,eps,321.0000,SAIDA,VENDA,sistema
1766064881596,2025-12-18T13:34:41.595Z,VENDA-1766064881593,tela,23.5400,SAIDA,VENDA,sistema
1766064881596,2025-12-18T13:34:41.595Z,VENDA-1766064881593,cimento,1027.2000,SAIDA,VENDA,sistema
1766064881597,2025-12-18T13:34:41.595Z,VENDA-1766064881593,areia,385.2000,SAIDA,VENDA,sistema
1766064881597,2025-12-18T13:34:41.595Z,VENDA-1766064881593,aditivo,0.4280,SAIDA,VENDA,sistema
1766064881597,2025-12-18T13:34:41.595Z,VENDA-1766064881593,conectores,17.1200,SAIDA,VENDA,sistema
